id,start_lat,start_lon,end_lat,end_lon,length (m),width (m),area (m2),demand
Jalan Raya Mulyosari,-7.258301153658700,112.79561663072800,-7.2736585383304900,112.79771417459300,575,2,1150,"1725,0"
Jalan Raya Kertajaya Indah (ITS - Oakwood),-7.27940813067957,112.78961915600100,-7.28056016219701,112.7811623896960,950,9,8550,"12825,0"
Jalan Raya Kertajaya Indah - Manyar Kertoarjo,-7.280610704725040,112.78069309453100,-7.279389691698660,112.76248190713400,2000,10,20000,"30000,0"
Jalan Kertajaya,-7.279360430156130,112.7621118343760,-7.278325393363130,112.756142922653,660,9,5940,"8910,0"
Jalan Kertajaya (Viaduct),-7.27826420999046,112.75553417978200,-7.277394153279900,112.75076005093400,525,9,4725,"7087,5"
Jalan Doktor Insinyur Haji Soekarno,-7.250031651243190,112.7842441083830,-7.25494320232232,112.78240420598000,578,7,4046,"6069,0"
Jalan Kalijudan,-7.2550496137051700,112.78237202574000,-7.2632945767598000,112.78306924598700,935,7,6545,"9817,5"
Jalan Doktor Insinyur Haji Soekarno,-7.263566802347170,112.78306145270500,-7.26981091220581,112.78216284530100,700,"4,5",3150,"4725,0"
Jalan Doktor Insinyur Haji Soekarno,-7.270306384315150,112.78208760136600,-7.280378864955550,112.78088068984200,1000,5,5000,"7500,0"
Jalan Doktor Insinyur Haji Soekarno,-7.280841728081270,112.78088605321600,-7.289342626461370,112.78060981493900,870,4,3480,"5220,0"
Jalan Arief Rahman Hakim,-7.289813460564840,112.78058567975900,-7.301072252803410,112.78169873231200,635,3,1905,"2857,5"
Jalan Doktor Insinyur Haji Soekarno,-7.301370173977000,112.78169336893800,-7.310128724086600,112.78053729500200,910,6,5000,"7500,0"
Jalan Doktor Insinyur Haji Soekarno,-7.312703788825540,112.7806472446780,-7.331435545858530,112.78112476355000,1900,5,5460,"8190,0"
Jalan Doktor Insinyur Haji Soekarno,-7.3317361065905600,112.78114085366900,-7.342975723305200,112.78644625160900,1365,6,9500,"14250,0"
Jalan Arief Rahman Hakim,-7.289628123579920,112.78036887946300,-7.289584852795090,112.77411618952600,1250,4,8190,"12285,0"
Jalan Dharmahusada Permai,-7.270939006824780,112.78922620735900,-7.270109026704620,112.78230745579300,735,4,2940,"4410,0"
Jalan Dharmahusada Indah Utara XIV,-7.269976016927340,112.78190520279500,-7.269460095844760,112.77814260628100,405,5,2025,"3037,5"
